Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment
111.7672,89,Male,None,Medium,Lagging
111.9398,39,Female,None,Medium,Lagging
112.0968,31,Male,None,Low,Lagging
112.2651,63,Female,None,High,Lagging
112.5981,57,Male,None,High,Lagging
112.5981,66,Male,None,Medium,Lagging
112.7652,77,Female,None,Low,Immediate
112.9346,20,Female,None,High,Lagging
113.0529,24,Male,None,High,Lagging
113.4346,96,Female,None,Medium,Lagging
113.4346,43,Female,None,High,Lagging
113.7693,93,Female,None,Low,Lagging
113.7693,92,Female,None,High,Immediate
113.9392,61,Female,None,Low,Lagging
113.9392,37,Male,None,Medium,Lagging
114.0987,41,Male,None,Low,Lagging
114.4501,33,Female,None,Medium,Lagging
114.5569,76,Female,None,Low,Immediate
114.9309,91,Male,None,Medium,Immediate
114.9309,93,Female,None,Medium,Immediate
114.9309,77,Male,None,Medium,Lagging
115.0986,90,Female,None,High,Lagging
115.3887,80,Male,None,Low,Lagging
115.5853,35,Male,None,Medium,Lagging
115.5853,76,Male,None,High,Immediate
115.7664,75,Female,None,Medium,Lagging
115.7664,82,Male,None,Low,Lagging
115.7664,75,Male,None,High,Lagging
116.2616,72,Male,None,Low,Lagging
116.2616,26,Female,None,High,Lagging
116.2616,50,Female,None,Low,Lagging
116.2616,58,Female,None,Low,Lagging
116.4281,47,Male,None,High,Lagging
116.7555,21,Male,None,Low,Lagging
116.9332,52,Female,None,Medium,Lagging
117.0928,70,Female,None,Medium,Lagging
117.4268,76,Male,WheelChair,Medium,Lagging
117.4268,91,Female,None,High,Lagging
117.5922,88,Female,None,Medium,Immediate
117.7657,30,Male,None,Medium,Lagging
117.7657,81,Female,None,High,Lagging
117.7657,37,Male,None,Medium,Lagging
118.1051,79,Female,None,High,Lagging
118.1051,57,Male,None,Low,Lagging
118.2675,94,Male,None,Low,Lagging
118.2675,27,Female,WheelChair,Low,Lagging
118.2675,64,Female,None,Medium,Lagging
118.2675,93,Male,None,High,Lagging
118.9351,26,Female,WheelChair,High,Lagging
118.9351,81,Male,None,Low,Lagging
118.9351,32,Male,None,Low,Lagging
119.2577,88,Male,None,High,Lagging
119.4324,35,Male,None,Medium,Lagging
119.5904,38,Male,None,Medium,Lagging
119.5904,97,Male,None,Low,Lagging
119.7639,54,Female,None,Low,Immediate
120.0932,31,Female,None,Medium,Lagging
120.2764,32,Male,None,Low,Lagging
120.2764,85,Male,None,Low,Lagging
120.2764,54,Female,None,Low,Lagging
120.4312,84,Female,None,High,Lagging
120.609,29,Female,None,Low,Lagging
120.609,93,Male,None,Low,Lagging
120.609,36,Male,None,Medium,Immediate
120.9338,64,Male,None,High,Lagging
120.9338,45,Male,None,Low,Lagging
120.9338,91,Male,None,High,Immediate
121.2627,62,Female,None,Low,Lagging
121.4253,50,Female,None,Low,Lagging
121.593,77,Female,None,Low,Lagging
121.7613,55,Female,None,Low,Lagging
121.7613,25,Female,None,Medium,Lagging
121.9259,28,Female,None,Low,Lagging
122.2145,82,Male,None,Medium,Lagging
122.2145,30,Male,None,Medium,Lagging
122.2145,20,Female,None,Medium,Lagging
122.4374,66,Male,None,Medium,Lagging
122.4374,81,Female,None,High,Lagging
122.6002,54,Female,None,High,Lagging
123.0958,41,Male,None,Low,Lagging
123.0958,62,Female,None,Low,Lagging
123.0958,50,Male,None,Medium,Lagging
123.275,33,Male,None,Low,Lagging
123.275,63,Male,None,Medium,Lagging
123.5977,91,Male,None,High,Lagging
123.7729,84,Male,WheelChair,Low,Lagging
123.7729,67,Female,None,High,Lagging
123.9221,58,Male,None,Medium,Lagging
124.0923,90,Female,WheelChair,High,Lagging
124.0923,33,Female,None,High,Lagging
124.276,49,Male,None,Low,Lagging
124.426,75,Male,None,Low,Lagging
124.5996,64,Female,None,High,Lagging
124.7715,70,Female,None,Low,Lagging
124.7715,70,Female,None,Low,Lagging
125.259,99,Male,None,High,Lagging
125.259,96,Male,None,Medium,Immediate
125.4396,90,Female,None,Medium,Lagging
125.5881,40,Male,None,Low,Lagging
125.7736,81,Female,None,Medium,Lagging
125.7736,48,Male,None,Low,Lagging
126.1019,54,Male,None,Low,Lagging
126.1019,85,Male,None,Medium,Lagging
126.2675,51,Female,None,Medium,Lagging
126.7246,42,Male,None,High,Lagging
126.9433,54,Male,None,Low,Lagging
126.9433,22,Female,None,High,Lagging
127.4336,89,Female,None,Medium,Lagging
127.4336,89,Female,None,Medium,Lagging
127.4336,41,Female,None,Low,Lagging
127.5996,96,Female,None,Medium,Immediate
127.9339,83,Female,None,Medium,Lagging
127.9339,68,Female,None,Medium,Lagging
128.0973,25,Female,None,Medium,Lagging
128.0973,23,Female,None,Medium,Lagging
128.263,31,Female,None,Low,Lagging
128.4253,37,Male,None,High,Lagging
128.76,90,Male,None,High,Lagging
128.76,40,Female,None,Medium,Lagging
128.9397,88,Male,None,Low,Lagging
129.0899,69,Male,None,Low,Lagging
129.263,91,Male,None,Medium,Lagging
129.263,57,Female,None,Medium,Lagging
129.4414,21,Female,None,High,Lagging
129.5903,47,Female,None,Medium,Lagging
129.7927,34,Male,None,Medium,Lagging
130.0942,74,Male,None,Low,Lagging
