Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
103.9164,60,Male,None,Low,Lagging,Low,0.8130081,1.2,0.8903847,1,70
104.0892,95,Male,None,Low,Immediate,Low,1.25,1,0.7123808,0.8,69
106.2509,32,Female,None,Low,Lagging,Low,0.7158197,1.2,0.704673,0.6,72
108.236,51,Female,None,Low,Lagging,Low,0.7936508,1,0.7155964,0.8,73
109.8468,43,Male,None,Low,Immediate,Low,0.7722008,1,0.7854545,0.6,68
110.766,54,Female,None,Low,Lagging,Low,0.8084074,1.2,0.8306305,1,70
111.4715,83,Male,None,Low,Immediate,Low,0.9803922,1.2,0.8053573,0.8,70
113.3664,78,Female,None,Low,Lagging,Low,0.9276438,1,0.8578948,0.8,74
113.5644,23,Female,None,Low,Lagging,Low,0.691085,1.2,0.8754386,0.8,65
114.3682,42,Female,None,Low,Lagging,Medium,0.7639419,1.6,1.099131,0.8,69
116.9681,94,Female,None,Medium,Lagging,High,1.176471,1.6,1.317949,1.4,71
117.7916,91,Male,WakingStick,Low,Lagging,Low,1.321877,1,0.7762714,0.8,66
117.7916,96,Female,None,Low,Lagging,Low,1.388889,1.2,0.6966103,0.6,65
119.6725,71,Male,None,Low,Lagging,Medium,0.877193,1.4,0.9533333,1,71
120.0686,71,Female,WheelChair,Low,Lagging,Low,0.971251,1.2,0.9371899,1,71
122.8665,83,Female,None,Low,Lagging,High,0.9541985,1.6,1.317073,1.2,67
123.6721,39,Male,None,Low,Lagging,Low,0.7751938,1.2,0.8161291,0.8,72
124.566,89,Male,None,Low,Lagging,Low,1.041667,1.4,0.9072,1,67
124.9748,88,Female,None,Low,Lagging,High,1.01833,1.6,1.2688,1.4,72
127.9715,29,Female,None,Low,Lagging,Low,0.7168459,1,0.8265625,0.8,66
128.4839,98,Male,None,Low,Lagging,Low,1.298701,1.2,0.8046512,0.6,70
128.6708,94,Female,None,Low,Lagging,Low,1.176471,1.2,0.8093026,1,66
129.2723,42,Female,None,Low,Lagging,High,0.7639419,1.6,1.289231,1.2,67
129.5914,84,Male,None,Low,Immediate,Medium,0.990099,1.2,0.9723079,1,71
131.6734,75,Female,None,Low,Lagging,Low,0.9082652,1.2,0.8530303,0.6,66
132.1852,69,Female,None,Low,Lagging,Low,0.8605852,1.2,0.8541353,0.8,68
134.7748,93,Female,None,Low,Lagging,Low,1.149425,1,0.7659259,0.6,75
135.2773,78,Female,None,Low,Lagging,Low,0.9276438,1.2,0.9323531,1,65
136.0726,45,Male,None,Low,Lagging,Medium,0.7692308,1.2,0.9897811,1,70
137.4018,84,Male,None,Low,Lagging,Low,0.990099,1.2,0.6652175,0.6,71
