AgentID,Interval 1,Interval 2,Interval 3,Interval 4,Interval 5,Interval 6,Interval 7,Interval 8,Interval 9,Interval 10,Interval 11,Interval 12,Interval 13,Interval 14,Interval 15,Interval 16,Interval 17,Interval 18,Interval 19,Interval 20,Interval 21,Interval 22,Interval 23,Interval 24,Interval 25,Interval 26,Interval 27,Interval 28,Interval 29,Interval 30,Interval 31,Interval 32,Interval 33,Interval 34,Interval 35,Interval 36,Interval 37,Interval 38,Interval 39,Interval 40,Interval 41,Interval 42,Interval 43,Interval 44,Interval 45,Interval 46,Interval 47,Interval 48,Interval 49,Interval 50,Interval 51,Interval 52,Interval 53,Interval 54,Interval 55,Interval 56,Interval 57,Interval 58,Interval 59,Interval 60,Interval 61,Interval 62,Interval 63,Interval 64,Interval 65,Interval 66,Interval 67,Interval 68,Interval 69,Interval 70,Interval 71,Interval 72,Interval 73,Interval 74,Interval 75,Interval 76,Interval 77,Interval 78,Interval 79,Interval 80,Interval 81,Interval 82,Interval 83,Interval 84,Interval 85,Interval 86,Interval 87,Interval 88,Interval 89,Interval 90,Interval 91,Interval 92,Interval 93,Interval 94,Interval 95,Interval 96,Interval 97,Interval 98,Interval 99,Interval 100,Interval 101,Interval 102,Interval 103,Interval 104,Interval 105,Interval 106,Interval 107,Interval 108,Interval 109,Interval 110,Interval 111,Interval 112,Interval 113
78,2.16,2.205,2.103333,2.2025,2.242,2.268333,2.287143,2.31375,2.334445,2.241,2.195455,2.165834,2.140769,2.119286,2.100667,2.084375,2.075882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,2.16,2.33,2.386667,2.415,2.452,2.476666,2.48,2.44,2.446666,2.462,2.465455,2.476667,2.486154,2.494286,2.472,2.41125,2.377647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2.84,2.765,2.656667,2.4525,2.33,2.248333,2.19,2.14625,2.112222,2.085,2.022727,1.979166,1.960769,1.945,1.938,1.931875,1.92647,1.921666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,2.16,2.33,2.386667,2.415,2.432,2.443333,2.451428,2.415,2.386667,2.364,2.345454,2.33,2.316923,2.294286,2.234666,2.20375,2.176471,2.152222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,2.16,2.03,1.966667,1.96,1.956,1.953333,1.951429,1.95,1.948889,1.948,1.97,2.009167,1.977692,1.950714,1.927333,1.906875,1.888824,1.872778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2.84,2.59,2.34,2.365,2.33,2.265,2.218571,2.215,2.24,2.26,2.276364,2.29,2.263077,2.24,2.213334,2.19,2.175294,2.156667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2.84,2.84,2.76,2.57,2.506,2.448333,2.407143,2.37625,2.352222,2.333,2.302727,2.264167,2.239231,2.210715,2.186,2.143125,2.125294,2.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,2.08,2.42,2.5,2.455,2.448,2.37,2.314286,2.2725,2.24,2.214,2.178182,2.135,2.072308,2.018572,2.001333,1.98625,1.972941,1.961111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,2.16,2.3,2.18,2.37,2.484,2.56,2.614286,2.655,2.675555,2.692,2.682727,2.654167,2.599231,2.552143,2.511333,2.469375,2.432353,2.399444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,2.12,2.12,2.233333,2.125,2.08,1.993333,1.931429,1.9275,1.924445,1.888,1.880909,1.8875,1.854615,1.826429,1.808667,1.786875,1.77353,1.737222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
